slug,title,date,Cost code, Invoiced Amount ,Invoice ,Year,link,blurb,
discovery2018,The Tentacles of Time, 16-February-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Tentacles-Time-T-M-Cooks/dp/1985646226/ref=sr_1_62?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-62&text=T.M.+Cooks,"One device. Four puzzles. When the alien makes his mind-bending mechanism, will Louie track the tricks before it’s too late? Follow the adventures of the past and present while ghosts travel through time to talk to the living. Who will crack the code to control the clocks?",
Excel2018,Picture Past, 29-June-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Picture-Past-T-M-Cooks/dp/1722402180/ref=sr_1_43?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-43&text=T.M.+Cooks,Nine friends go against two opposing forces: love and war. Will separation come between them?,
Fife2018,Gemini, 15-June-2018,internal,,,2018,https://www.amazon.co.uk/Gemini-T-M-Cooks/dp/1721541675/ref=sr_1_48?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-48&text=T.M.+Cooks,The star sign ‘Gemini’ means twin. But Summer and Holly are not that similar….,
firhill2018radicals,Vengeance, 4-May-2018,internal,,,2018,https://www.amazon.co.uk/Vengeance-T-M-Cooks/dp/1718818742/ref=sr_1_53?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-53&text=T.M.+Cooks,"Peter Peterson, a disturbed man with an ugly childhood. Living with parents as drug dealers can't always be easy. Violence drama and murder, oh my! The book vengeance has it all. This book will have you at the edge of your seat, making you want to turn the page. All proceeds from the sale of this book will go to Kira's fund: https://solvingkidscancer.org.uk/campaigns/Kira/",
firhill2018raiders,Project: Iris, 4-May-2018,internal,,,2018,https://www.amazon.co.uk/Project-Iris-T-M-Cooks/dp/1718818750/ref=sr_1_52?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-52&text=T.M.+Cooks,"After deciding to go ahead with a never before tried experiment regarding superhuman powers, six random members of the public signed up for scientific tests, on if it was really possible for humans to have alien powers. Zaira, James, Murray, John, Eric, Timmy and Marius embark on the adventure of a lifetime, into the deepest unknown. With new things to discover and new people to meet, there is never a dull moment in our solar system. But will they survive? Read on to find out… All proceeds from the sale of this book will go to Kira's fund: https://solvingkidscancer.org.uk/campaigns/Kira/",
glyn2018TeamA,Russian Hybrids,2/9/2018,SHINE,,,2018,https://www.amazon.co.uk/Russian-Hybrids-T-M-Cooks/dp/1985877422/ref=sr_1_63?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-63&text=T.M.+Cooks,"It is dark times, a top secret experiment in the Soviet Union that will stop the Americans in the Cold War,but these experiments pack a deadly punch, the animals need a cure so they can turn back to normal, while the Russians and the Americans have an epic showdown. Later on there is, an adventure with a dog in space and mythical beasts such as; Cerberus, Pegasus and even a Kraken. This story is full of adventure and action, with a few twist.",
glyn2018TeamB,Chuck and the Goat Guy,9-Feb-18,SHINE,,,2018,https://www.amazon.co.uk/Chuck-Goat-Guy-T-Cooks/dp/1985877066/ref=sr_1_64?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-64&text=T.M.+Cooks,"Imagine a life without a family, without a Normal life! A boy named Jason has powers nobody else could imagine, powers that seems to be world’s most useless, Or Is it? Jason and his team must learn to use their powers and control it in order to save time! Will they be able to do it? You know the answer! Join Jason and his team on his quest!",
GN2018,Destinate Curses, 6-July-2018,SHINE,,,2018,https://www.amazon.co.uk/Destinate-Curses-T-M-Cooks/dp/1722692448/ref=sr_1_41?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-41&text=T.M.+Cooks,"Something weird, something unimaginable, something wrong. What is it that these friends are going to face? They went for a vacation but what did it turn out to be? Country after country, things get worse. Who or what is coming after them? What will the outcome be? Who will survive? Too many questions and only one answer! There’s only one way to find out..",
Haywood2018,The Mark of a Memory, 22nd June-2018,HH, £ 600.00 ,inv2018_82,2018,https://www.amazon.co.uk/Mark-Memory-T-M-Cooks/dp/1721806369/ref=sr_1_47?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-47&text=T.M.+Cooks,"A picture awakens a memory of the war. A memory which goes back 100 years. Concealed in the minds of seven boys, roaming around in a mysterious past. Two different generations are joined by a mark . . . but how?",
Keele2018,Breakfast Plans, 1st June-2018,Be More Creative," £ 1,200.00 ",inv2018_84,2018,,,
